
央视标清,#genre#
$c_start央视标清$c_end


CCTV-1,http://183.131.128.233/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv1hd/1200/index.m3u8?&encrypt=1
CCTV-1,http://ocs2.xjitv.cn:5000/cctv1_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv1_hd&quality=null&type=pc&token=guoziyun

CCTV-2,http://183.131.128.233/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv2hd/1500/index.m3u8?&encrypt=1
CCTV-2,http://ocs2.xjitv.cn:5000/cctv2_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv2_hd&quality=null&type=pc&token=guoziyun

CCTV-3,http://183.131.128.233/mgsp.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?&encrypt=1
CCTV-3,http://ocs2.xjitv.cn:5000/cctv3_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv3_hd&quality=null&type=pc&token=guoziyun

CCTV-4,http://183.131.128.233/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv4hd/1500/index.m3u8?&encrypt=1
CCTV-4,http://ocs2.xjitv.cn:5000/cctv4_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv4_hd&quality=null&type=pc&token=guoziyun

CCTV-5,http://183.131.128.233/mgsp.live.miguvideo.com:8088/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?&encrypt=1
CCTV-5,http://ocs2.xjitv.cn:5000/cctv5_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv5_hd&quality=null&type=pc&token=guoziyun

CCTV-5+,http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8

CCTV-6,http://183.131.128.233/mgsp.live.miguvideo.com:8088/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?&encrypt=1
CCTV-6,http://ocs2.xjitv.cn:5000/cctv6_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv6_hd&quality=null&type=pc&token=guoziyun


CCTV-7,http://183.131.128.233/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv7hd/51/index.m3u8?&encrypt=1
CCTV-7,http://ocs2.xjitv.cn:5000/cctv7_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv7_hd&quality=null&type=pc&token=guoziyun

CCTV-8,http://183.131.128.233/mgsp.live.miguvideo.com:8088/migu/kailu/cctv8hd265/54/20200407/index.m3u8?&encrypt=1
CCTV-8,http://ocs2.xjitv.cn:5000/cctv8_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv8_hd&quality=null&type=pc&token=guoziyun

CCTV-9,http://183.131.128.233/mgsp.live.miguvideo.com:8088/migu/kailu/20200324/cctv9hd/51/index.m3u8?&encrypt=1
CCTV-9,http://ocs2.xjitv.cn:5000/cctv9_hdcq.m3u8?protocal=hls&user=yoongoo&tid=WEB-91AE097F0DED319B&sid=cctv9_hd&quality=null&type=pc&token=guoziyun

